fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
DGDU Chasing Fearless Futures (Taylor's Version) Benefitting THON,5K,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,300,,Greek,,
Ayuda 5K Fundraiser Benefitting THON,5K,Ayuda ,1923,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,450,,Special Interest,,
Chi Phi and Phi Sigma Rho 5k Fundraiser Benefitting THON,5K,Chi Phi & Phi Sigma Rho Phi Rho,81 & 160,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,200,,Greek,,
Atlas 5k Fundraiser Benefitting THON,5K,Atlas ,312,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,100,,Special Interest,,
SPN Make a Vision 5K Fundraising Benefitting THON,5K,Student Philanthropy Network SPN,3198,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,300,,NewMC,,
SPN Make a Vision 5K Fundraiser Benefitting THON,5K,Student Philanthropy Network SPN,3198,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,300,,NewMC,,
Ohana 5k Fundraiser Benefitting THON,5K,Ohana ,1161,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,100,,Special Interest,,
Axis 5k Fundraiser Benefitting THON,5K,Axis ,1747,10/22/2023,10/22/2023,,Denied,300,,Special Interest,,
Science LionPride 5k Fundraiser Benefitting THON,5K,Science Lionpride SLP,1379,10/22/2023,10/22/2023,Outside Bryce Jordan Center:     ,Denied,100,,General,,
World Campus 5k Fundraiser Benefitting THON,5K,World Campus,1318,10/22/2023,10/22/2023,Penn State (University Park):     ,Denied,100,,Commonwealth,,
Scented Candles Sale Benefitting THON,Item Sale,Leah Jacobs and Ainsley Novotny (2024),3189,9/24/2023,10/7/2023,,Approved,50,316,Independent Couple,,
Alpha Omicron Pi & Phi Kappa Psi 5k Fundraiser Benefitting THON,5K,Alpha Omicron Pi AOII & Phi Kappa Psi,8 & 32,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,100,,Greek,,
