fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Pasta Dinner Benefitting THON,Benefit Dinner,Riley Neglia and Kari Jim (2024),3137,9/25/2023,9/25/2023,Riley's Apartment: 320 E BEAVER AVE Apartment 423 STATE COLLEGE PA 16801,Approved,100,96,Independent Couple,,
Dance Alliance 5k Fundraiser Benefitting THON,5K,Club Sailing  & Dance Alliance PSDA,408 & 1553,10/22/2023,10/22/2023,THON 5k:,Denied,50,,General,,
Club Cross Country THON 5K Fundraiser Benefitting THON,5K,Club Cross Country XC,305,10/22/2023,10/23/2023,Bryce Jordan Center:     ,Denied,500,,General,,
Alpha Xi Delta 5k Fundraiser Benefitting THON,5K,Alpha Xi Delta AXID,31,10/22/2023,10/22/2023,Beaver Stadium:     ,Denied,200,,Greek,,
Puerto Rican Student Association 5k Fundraiser Benefitting THON,5K,Puerto Rican Student Association PRSA,688,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,245,,General,,
Kappa Kappa Gamma 5k Fundraiser Benefitting THON,5K,Kappa Kappa Gamma,22,10/22/2023,10/22/2023,Beaver Stadium: 1 Beaver Stadium  University park PA 16802,Denied,999.99,,Greek,,
Alpha Delta Pi 5k Fundraiser Benefitting THON,5K,Alpha Delta Pi ADPi,20,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,100,,Greek,,
Stick to Chasing Fearless Futures 5k Fundraiser - Club Sailing x Benefitting THON,5K,Club Sailing  & Dance Alliance PSDA,408 & 1553,10/22/2023,10/22/2023,University Park:     ,Denied,50,,General,,
Schreyer StuCo Pre-5k Hair Benefitting THON,5K,Schreyer Honors College Student Council SHC StuCo,1731,10/22/2023,10/22/2023,THON 5k:,Approved,300,81,General,,
Sigma Sigma Sigma x Zeta Beta Tau 5k Fundraiser Benefitting THON,5K,Sigma Sigma Sigma Tri Sigma & Zeta Beta Tau ZBT,33 & 1476,10/22/2023,10/22/2023,THON 5K:,Denied,100,,Greek,,
Photoshoot Benefitting THON,Item Sale,Riley Neglia and Kari Jim (2024),3137,9/25/2023,10/8/2023,Old Main:     ,Approved,200,115,Independent Couple,,
Sign Language Bake Sale Benefitting THON,Bake Sale,Sign Language Organization ,237,8/5/2023,8/5/2023,McCaffrey's Food Market - Newtown: 2890 S EAGLE RD  NEWTOWN PA 18940,Approved,100,218.25,General,,
Devon Bertram and Katelin Johndrow (2023) Bracelet Sale #1 Benefitting THON,Item Sale,Devon Bertram and Katelin Johndrow (2024),3069,9/25/2023,10/1/2023,Campus:     ,Approved,60,180,Independent Couple,,
FOTO Bake Sale Benefitting THON,Bake Sale,FOTO ,1336,9/1/2023,9/1/2023,First National Bank: 366 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,50,199.29,Special Interest,,
Tau Kappa Epsilon x Epsilon Sigma Alpha Bake Sale Benefitting THON,Bake Sale,Epsilon Sigma Alpha ESA & Tau Kappa Epsilon TKE,27 & 562,9/1/2023,9/1/2023,Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,60,124,Greek,,
Ayuda X Bake Sale Benefitting THON,Bake Sale,Ayuda ,1923,9/3/2023,9/3/2023,t. Paul's United Methodist Church: 250 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,188,473,Special Interest,,
SDT & Phi Who Ribbon and Bake Sale Benefitting THON,Bake Sale,Phi Kappa Theta & Sigma Delta Tau,24 & 49,9/8/2023,9/8/2023,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,500,276.75,Greek,,
FOTO Bake Sale Benefitting THON,Bake Sale,FOTO ,1336,9/8/2023,9/8/2023,Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,49.98,330.57,Special Interest,,
Babka Benefitting THON,Bake Sale,Hillel ,50,9/14/2023,9/15/2023,180 S. Garner Stree:,Approved,100,220,General,,
Ohana Bake Sale Benefitting THON,Bake Sale,Apollo  & Ohana ,1161 & 1745,9/15/2023,9/15/2023,,Canceled,100,,Special Interest,,
Ohana Bake Sale Benefitting THON,Bake Sale,Ohana ,1161,9/15/2023,9/15/2023,Martin Luther King Jr Plaza: 123 S FRASER ST  STATE COLLEGE PA 16801,Approved,100,77,Special Interest,,
Bachelor in Paradise Fantasy League Benefitting THON,Sporting Event,Emily Shank and Esha Sharma (2024),3181,9/26/2023,9/28/2023,,Denied,150,,Independent Couple,,
Laura's Lions 46 Strong Sweatshirt Fundraiser Benefitting THON,Merchandise Sale,Brooke Rockovits and McKenna Byrne (2024),3112,9/27/2023,10/10/2023,,Approved,200,260,Independent Couple,,
FOTO Bake Sale Benefitting THON,Bake Sale,FOTO ,1336,9/22/2023,9/22/2023,Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,50,372,Special Interest,,
Bake Sale Benefitting THON,Bake Sale,Atlas ,312,9/22/2023,9/22/2023,The Corner Room: 100 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,500,627,Special Interest,,
Epsilon Sigma Alpha Bake Sale Benefitting THON,Bake Sale,Epsilon Sigma Alpha ESA & Tau Kappa Epsilon TKE,27 & 562,9/22/2023,9/22/2023,Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,272,Greek,,
Chi Phi and Phi Sigma Rho Bake Sale Benefitting THON,Bake Sale,Chi Phi & Phi Sigma Rho Phi Rho,81 & 160,9/22/2023,9/22/2023,Family Clothesline: 352 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,187,Greek,,
Bake Sale Fundraiser for Alpha Kappa Psi and Phi Beta Lambda Benefitting THON,Bake Sale,Alpha Kappa Psi  & Phi Beta Lambda,61 & 1029,9/22/2023,9/22/2023,State College Theatre: 130 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,360,General,,
Anna & Diane Dare Board Benefitting THON,Item Sale,Anna Boyer and Diane Friedman (2024),3086,9/28/2023,9/28/2023,,Denied,125,,Independent Couple,,
Hot dogs Benefitting THON,Bake Sale,Mackenzie Lee and Cade Helfrich (2024),3133,9/29/2023,9/29/2023,Cade Helfrich: 229 LOCUST LN  STATE COLLEGE PA 16801,Approved,180,,Independent Couple,,
Pasta Fundraiser Benefitting THON,Benefit Dinner,Brianna Lewis and Makenna Shields (2024),3107,9/30/2023,9/30/2023,Makenna Shields:     ,Approved,200,197,Independent Couple,,
Bake Sale Phi Sigma Pi Benefitting THON,Bake Sale,Phi Sigma Pi PSP,60,9/24/2023,9/24/2023,In front of Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,250,,General,,
Tri-STATE Bake Sale Benefitting THON,Bake Sale,Tri-STATE ,1177,9/27/2023,9/27/2023,MISKA Jewelers: 100 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,302.05,Special Interest,,
ServeState Bake Sale Benefitting THON,Bake Sale,Servestate: Students For Philanthropy ServeState,546,9/29/2023,9/29/2023,HUB:     ,Canceled,80,,General,,
Andrew Spence and Dylan Lantz-Goldstein x Concert Benefitting THON,Event/Concert,Dylan Lantz-Goldstein and Andrew Spence (2024),3170,9/30/2023,9/30/2023,Andrew Spence: 144 N PATTERSON ST  STATE COLLEGE PA 16801,Denied,250,,Independent Couple,,
Bake Sale: SNAPS x KINES Benefitting THON,Bake Sale,Kinesiology Club KINES club & Student Nurses' Association at Penn State SNAPS,104 & 100,9/29/2023,9/29/2023,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,509.48,General,,
Tapestry Dance Company Bake Sale Benefitting THON,Bake Sale,Tapestry Dance Company ,142,10/1/2023,10/1/2023,The Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,116,General,,
Bake Sale #1 x Apollo Benefitting THON,Bake Sale,Apollo ,1745,10/5/2023,10/6/2023,The Corner Room: 100 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,500,533,Special Interest,,
Maddie and Katie's Penn State Stickers Benefitting THON,Item Sale,Madelyn Ade and Katherine Dinsmore (2024),3151,9/30/2023,10/8/2023,,Approved,250,,Independent Couple,,
Ultimate Frisbee Bake Sale Benefitting THON,Bake Sale,Men's Club Ultimate Frisbee & Women's Club Ultimate Frisbee ,2067 & 348,10/7/2023,10/8/2023,IM fields on Park Ave:     ,Denied,100,,General,,
SfW Bake Sale Benefitting THON,Bake Sale,Empowering Women in Law EWIL & Schreyer for Women SFW,2886 & 2927,10/8/2023,10/8/2023,The Corner Room Restaurant: 100 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,300,280,General,,
Womens Club Soccer Bakesale Benefitting THON,Bake Sale,Women's Club Soccer ,69,10/8/2023,10/8/2023,West Campus soccer field:     ,Denied,150,,General,,
CIES Bake Sale Benefitting THON,Bake Sale,Corporate Innovation & Entrepreneurship Society CIES,727,10/10/2023,10/10/2023,Business Building 106:,Approved,30,65,General,,
Eclipse Bake Sale Benefitting THON,Bake Sale,Eclipse ,2020,10/11/2023,10/11/2023,Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,190.75,Special Interest,,
Bake Sale #2 x Apollo Benefitting THON,Bake Sale,Apollo ,1745,10/12/2023,10/12/2023,The Corner Room: 100 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,300,294,Special Interest,,
FOTO Bake Sale Benefitting THON,Bake Sale,FOTO ,1336,10/13/2023,10/13/2023,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,50,338.52,Special Interest,,
Sigma Kappa & FIJI Bake Sale Benefitting THON,Bake Sale,Phi Gamma Delta & Sigma Kappa,35 & 19,10/13/2023,10/13/2023,Phi Gamma Delta House: 319 N Burrowes Road  University Park PA 16802,Approved,200,434.47,Greek,,
Ayuda X Bake Sale Benefitting THON,Bake Sale,Ayuda ,1923,10/13/2023,10/13/2023,St. Pauls: 250 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,399.95,364,Special Interest,,
Trilogy Bake Sale Benefitting THON,Bake Sale,Trilogy ,10,10/13/2023,10/13/2023,Family Clothesline: 352 E COLLEGE AVE STE B  STATE COLLEGE PA 16801,Approved,200,278.06,Special Interest,,
Alpha Phi Omega Bake Sale Benefitting THON,Bake Sale,Alpha Phi Omega ,54,10/13/2023,10/13/2023,Hub Gazebo:     ,Approved,100,124,General,,
Ayuda X Bake Sale Benefitting THON,Bake Sale,Ayuda ,1923,10/13/2023,10/13/2023,St. Pauls: 250 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,400,,Special Interest,,
Bake Sale with Atlas Benefitting THON,Bake Sale,Atlas ,312,10/13/2023,10/13/2023,,Approved,700,850,Special Interest,,
Pretzel Sale Benefitting THON,Bake Sale,Sign Language Organization  & Taylor Root and Meghan McFillin (2024),237 & 3193,10/13/2023,10/13/2023,Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,400,General,,
Kappa Kappa Gamma & Delta Chi Bake Sale Benefitting THON,Bake Sale,Delta Chi & Kappa Kappa Gamma,23 & 22,10/15/2023,10/15/2023,jacqui furey: 100 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,220,Greek,,
Pasta Night Benefitting THON,Benefit Dinner,Kayla Best and Simone Garafalo (2024),3118,10/1/2023,10/1/2023,Simone's House: 135 W PROSPECT AVE  STATE COLLEGE PA 16801,Denied,80,,Independent Couple,,
Phi Kappa Tau and Whiplash Grilled Cheese fundraiser Benefitting THON,Bake Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,10/21/2023,10/21/2023,Phi Kappa Tau fraternity: 408 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,150,257,General,,
Bake Sale #3 x Apollo Benefitting THON,Bake Sale,Apollo ,1745,10/26/2023,10/26/2023,The Corner Room: 500 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,250,120,Special Interest,,
SDT & Phi Who Ribbon and Bake Sale Benefitting THON,Bake Sale,Phi Kappa Theta & Sigma Delta Tau,24 & 49,10/27/2023,10/27/2023,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,500,147,Greek,,
FOTO Bake Sale Benefitting THON,Bake Sale,FOTO ,1336,10/27/2023,10/27/2023,Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,50,116.67,Special Interest,,
Kappa Kappa Gamma Ribbon and Bake Sale Benefitting THON,Bake Sale,Kappa Kappa Gamma,22,10/27/2023,10/27/2023,Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,99.99,,Greek,,
Everyday Bake Sale Benefitting THON,Bake Sale,Everyday Benefitting THON Everyday,1194,10/27/2023,10/27/2023,The Bhakti Yoga Center: 332B E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,110,53,Special Interest,,
Club Golf Bake Sale Benefitting THON,Bake Sale,Club Golf ,186,10/27/2023,10/27/2023,Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,700,785,General,,
Kappa Kappa Gamma Bake Sale Benefitting THON,Bake Sale,Delta Chi & Kappa Kappa Gamma,23 & 22,10/29/2023,10/29/2023,Jacqui Furey: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,125,Greek,,
Bake Sale Benefitting THON,Bake Sale,Vietnamese Student Association VSA,732,10/30/2023,10/31/2023,Anh Hoang: 140 N BARNARD ST Unit 2 STATE COLLEGE PA 16801,Canceled,200,,General,,
Hot Chocolate Sale Benefitting THON,Bake Sale,Western Equestrian Club ,580,10/30/2023,10/30/2023,Ag Science and Industries Building Lawn:     ,Denied,100,,General,,
Bake Sale x Benefitting THON,Bake Sale,Eberly College of Science Student Council ,140,11/3/2023,11/3/2023,Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,242,General,,
Pasta Party Benefitting THON,Benefit Dinner,Kayla Best and Simone Garafalo (2024),3118,10/1/2023,10/1/2023,Simone's House: 135 W PROSPECT AVE  STATE COLLEGE PA 16801,Approved,80,236,Independent Couple,,
Kappa Kappa Gamma Cookie Delivery Benefitting THON,Bake Sale,Kappa Kappa Gamma,22,11/5/2023,11/5/2023,616 E College Avenue:,Approved,199.98,,Greek,,
Taco Meal Benefitting THON,Benefit Dinner,Carly Weisfelner and Emily Locker (2024),3085,10/2/2023,10/2/2023,Carly Weisfelner: 131 HIESTER ST Unit 907 STATE COLLEGE PA 16801,Approved,100,199.12,Independent Couple,,
SDT & Phi Who Ribbon and Bake Sale Benefitting THON,Bake Sale,Phi Kappa Theta & Sigma Delta Tau,24 & 49,11/10/2023,11/10/2023,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,500,100,Greek,,
FOTO Bake Sale Benefitting THON,Bake Sale,FOTO ,1336,11/10/2023,11/10/2023,Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,50,277,Special Interest,,
PSAMA Bakesale Benefitting THON,Bake Sale,American Marketing Association at Penn State PSAMA,92,11/10/2023,11/10/2023,First National Bank: 366 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,491,General,,
Bingo Board Benefitting THON,Coin Collection,Haley McCarthy-Levy and Isabella Russo (2024),3180,10/2/2023,10/4/2023,,Denied,120,,Independent Couple,,
Club Golf Bake Sale x Benefitting THON,Bake Sale,Club Golf ,186,11/10/2023,11/10/2023,Urban Outfitters: 234 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,749.98,980.34,General,,
Bake Sale with Atlas Benefitting THON,Bake Sale,Atlas ,312,11/10/2023,11/10/2023,The Corner Room: 100 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,600,866,Special Interest,,
Sticker Sale Benefitting THON,Item Sale,Haley McCarthy-Levy and Isabella Russo (2024),3180,10/2/2023,10/12/2023,,Approved,120,,Independent Couple,,
Alpha Epsilon Delta and Phi Epsilon Kappa Bake Sale Benefitting THON,Bake Sale,Alpha Epsilon Delta & Phi Epsilon Kappa PEK,65 & 2457,11/10/2023,11/10/2023,HUB Patio:     ,Canceled,75,,Greek,,
Bake Sale Benefitting THON,Bake Sale,Pi Kappa Phi Pi Kapp,3,11/10/2023,11/10/2023,Mr. Wish: 320 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,71,Greek,,
Bake Sale Benefitting THON,Bake Sale,Pi Kappa Phi Pi Kapp,3,11/10/2023,11/10/2023,Mr. Wish:     ,Canceled,150,,Greek,,
Pasta Fundraiser Benefitting THON,Benefit Dinner,Emily Shank and Esha Sharma (2024),3181,10/3/2023,10/3/2023,Emily Shank: 131 HIESTER ST # 924  STATE COLLEGE PA 16801,Approved,50,65,Independent Couple,,
PSDA Bake Sale Benefitting THON,Bake Sale,Club Sailing  & Dance Alliance PSDA,408 & 1553,11/12/2023,11/12/2023,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,135.43,General,,
Manicures Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Brianna Lewis and Makenna Shields (2024),3107,10/4/2023,10/4/2023,Makenna Shield: 141 S GARNER ST  STATE COLLEGE PA 16801,Approved,75,120,Independent Couple,,
Fall Bake Sale X Kaizen Benefitting THON,Bake Sale,Kaizen  & Operation Blue and Gold OBG,133 & 1896,11/13/2023,11/14/2023,HUB-Robeson Building:     ,Denied,150,,General,,
HEAL Bake Sale Benefitting THON,Bake Sale,HEAL: Help Every Angel Live ,1540,11/13/2023,11/16/2023,"Our President, Kaileigh's House: 223 W HAMILTON AVE  STATE COLLEGE PA 16801",Approved,30,20,Special Interest,,
Cookie Grams Benefitting THON,Bake Sale,Alpha Delta Phi Delta House & Delta Phi Epsilon DPhiE,1073 & 2090,11/14/2023,11/14/2023,Lorenza's Apartment:     ,Approved,75,105,Greek,,
FOTO Bake Sale Benefitting THON,Bake Sale,FOTO ,1336,11/17/2023,11/17/2023,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,50,131,Special Interest,,
Bake Sale Benefitting THON,Bake Sale,Alexa Breisch and Kayla Breisch (2024),3108,10/6/2023,10/6/2023,The Englewood: 1219 W END AVE  HUMMELSTOWN PA 17036,Denied,75,,Independent Couple,,
Kappa Kappa Gamma Ribbon and Bake Sale Benefitting THON,Bake Sale,Kappa Kappa Gamma,22,11/19/2023,11/19/2023,Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,0,Greek,,
Golden Bachelor Benefitting THON,Sporting Event,Maddie Neulander and Katelyn Felsberg (2024),3190,10/6/2023,10/19/2023,,Canceled,150,,Independent Couple,,
Pancake Breakfast Benefitting THON,Benefit Dinner,Jessica Johnson and Madison Iemma (2024),3154,10/7/2023,10/7/2023,Jessica Johnson and Madison Iemma: 500 S PUGH ST  STATE COLLEGE PA 16801,Approved,100,85,Independent Couple,,
Build Your Own Bagel Benefitting THON,Bake Sale,Student Society of Architectural Engineers SSAE,183,11/21/2023,11/21/2023,Engineering Unit B:     ,Denied,144,,General,,
Pasta Dinner Benefitting THON,Benefit Dinner,McHalea Beck and Emily Borell (2024),3114,10/8/2023,10/8/2023,Pugh Centre: 150 E BEAVER AVE # 714  STATE COLLEGE PA 16801,Approved,350,306,Independent Couple,,
Merch Sale Benefitting THON,Merchandise Sale,Danielle Valletti and Haley Begany (2024),3081,10/9/2023,10/22/2023,,Approved,100,0,Independent Couple,,
Sauly Boys x Maddie Ade and Katie Dinsmore x Benefitting THON,Restaurant Fundraiser,Madelyn Ade and Katherine Dinsmore (2024),3151,10/9/2023,10/9/2023,Sauly Boys: 124 S ALLEN ST  STATE COLLEGE PA 16801,Approved,200,0,Independent Couple,,
Maggie and Maddie Dare Board Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Maggie Fechtman and Maddie Shine (2024),3071,10/10/2023,10/12/2023,,Denied,75,,Independent Couple,,
Taco Tuesday Benefitting THON,Benefit Dinner,Maddie Neulander and Katelyn Felsberg (2024),3190,10/10/2023,10/10/2023,Cedarbrook: 320 E BEAVER AVE Apt 505 STATE COLLEGE PA 16801,Approved,200,100,Independent Couple,,
Coquito Sale Benefitting THON,Bake Sale,Puerto Rican Student Association PRSA,688,11/29/2023,11/29/2023,Mclanahan's Penn State Room: 414 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,600,353,General,,
DASH Bake Sale Benefitting THON,Bake Sale,DASH ,543,12/1/2023,12/1/2023,Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,227,Special Interest,,
Ribbons Benefitting THON,Item Sale,Mackenzie Lee and Cade Helfrich (2024),3133,10/12/2023,10/12/2023,Campus Steaks: 119 S PUGH ST  STATE COLLEGE PA 16801,Approved,200,245,Independent Couple,,
Holiday Cookie Sale - AIAS Benefitting THON,Bake Sale,American Institute of Architecture Students AIAS,389,12/7/2023,12/7/2023,Stuckeman Family Building (Lobby):     ,Canceled,36,,General,,
FOTO Christmas Cookies Benefitting THON,Bake Sale,FOTO ,1336,12/8/2023,12/8/2023,Nittany Apartments:     ,Approved,50,65,Special Interest,,
Pasta Dinner Fundraiser - Devon Bertram and Katelin Johndrow (2024) Benefitting THON,Benefit Dinner,Devon Bertram and Katelin Johndrow (2024),3069,10/13/2023,10/13/2023,Devon Bertram's House: 536 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,125,150.72,Independent Couple,,
Axis Treat Sale Benefitting THON,Bake Sale,Axis ,1747,12/25/2023,12/29/2023,Abigail Rose Hynes: 15 STORY CT  FREEHOLD NJ 07728,Denied,30,,Special Interest,,
Pasta Party Benefitting THON,Benefit Dinner,Maddie Blonder and Olivia Sanders (2024),3090,10/13/2023,10/13/2023,House off Campus: 125 W BEAVER AVE Unit 1 STATE COLLEGE PA 16801,Approved,150,,Independent Couple,,
Ella Palmieri x Paige Blankenhorn Benefitting THON,Item Sale,Ella Palmieri and Paige Blankenhorn (2024),3084,10/13/2023,10/13/2023,Family Clothesline: 352 E COLLEGE AVE STE B  STATE COLLEGE PA 16801,Approved,300,163,Independent Couple,,
Ribbon Sale Benefitting THON,Item Sale,Maddie Neulander and Katelyn Felsberg (2024),3190,10/13/2023,10/13/2023,Yallah Taco: 352 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,70,Independent Couple,,
